    n                 h                 l                 k
          1  0.2999999574D+01  0.2999999630D+01  0.2000000000D+01
          2  0.6040814666D+00  0.8392363997D-01  0.2983110897D+00
          3  0.2884250886D+00  0.1472986287D-01  0.9215277680D-01
          4  0.1752863536D+00  0.1017658444D-01  0.4149559949D-01
          5  0.1291399937D+00  0.8428616146D-02  0.2437815262D-01
          6  0.1071663931D+00  0.6757199600D-02  0.1681682882D-01
          7  0.9475416201D-01  0.5364131815D-02  0.1269679236D-01
          8  0.8663275167D-01  0.4288482473D-02  0.1010921683D-01
          9  0.8072289680D-01  0.3471593896D-02  0.8329958515D-02
         10  0.7610999137D-01  0.2846113042D-02  0.7032207174D-02
         11  0.7234010401D-01  0.2359252231D-02  0.6046183801D-02
         12  0.6915869147D-01  0.1973770219D-02  0.5273827259D-02
         13  0.6640959410D-01  0.1664022570D-02  0.4654212005D-02
         14  0.6398578941D-01  0.1411753640D-02  0.4147114242D-02
         15  0.6181488327D-01  0.1204297090D-02  0.3725238691D-02
         16  0.5984424945D-01  0.1032269791D-02  0.3369270200D-02
         17  0.5803146956D-01  0.8884020189D-03  0.3065095941D-02
         18  0.5635167737D-01  0.7675894247D-03  0.2802620144D-02
         19  0.5478006476D-01  0.6654656576D-03  0.2573911197D-02
         20  0.5330022254D-01  0.5788806292D-03  0.2373051862D-02
         21  0.5189958722D-01  0.5051298519D-03  0.2195391135D-02
         22  0.5056793076D-01  0.4420836267D-03  0.2037290098D-02
         23  0.4929702938D-01  0.3879850959D-03  0.1895797292D-02
         24  0.4808237739D-01  0.3414703883D-03  0.1768592447D-02
         25  0.4691601048D-01  0.3013540996D-03  0.1653652971D-02
         26  0.4579643846D-01  0.2666590487D-03  0.1549445278D-02
         27  0.4471939813D-01  0.2365692509D-03  0.1454623118D-02
         28  0.4368218103D-01  0.2104084955D-03  0.1368038450D-02
         29  0.4268280012D-01  0.1876288392D-03  0.1288774582D-02
         30  0.4171929365D-01  0.1677507337D-03  0.1216016789D-02
         31  0.4078960312D-01  0.1503526374D-03  0.1149052274D-02
         32  0.3989240046D-01  0.1350979364D-03  0.1087290437D-02
         33  0.3902611714D-01  0.1216981048D-03  0.1030203051D-02
         34  0.3818957640D-01  0.1099138446D-03  0.9773336908D-03
         35  0.3738070754D-01  0.9950212275D-04  0.9282584869D-03
         36  0.3659950057D-01  0.9030566802D-04  0.8826557228D-03
         37  0.3584470122D-01  0.8216675345D-04  0.8402044365D-03
         38  0.3511478543D-01  0.7495059157D-04  0.8006160699D-03
         39  0.3440898088D-01  0.6853771382D-04  0.7636445500D-03
         40  0.3372612513D-01  0.6282831884D-04  0.7290700380D-03
         41  0.3306612879D-01  0.5774325374D-04  0.6967040535D-03
         42  0.3242734275D-01  0.5320401134D-04  0.6663547451D-03
         43  0.3180937220D-01  0.4915533005D-04  0.6378722385D-03
         44  0.3121047834D-01  0.4550881286D-04  0.6110934072D-03
         45  0.3063098408D-01  0.4227116372D-04  0.5858978976D-03
         46  0.3007033789D-01  0.3935106718D-04  0.5621781825D-03
         47  0.2952693225D-01  0.3672694715D-04  0.5398102455D-03
         48  0.2900038399D-01  0.3436503231D-04  0.5186976690D-03
         49  0.2848952030D-01  0.3223637694D-04  0.4987421188D-03
         50  0.2799528685D-01  0.3032870110D-04  0.4798859297D-03
         51  0.2751552238D-01  0.2858840690D-04  0.4620339290D-03
         52  0.2705023563D-01  0.2701548401D-04  0.4451218900D-03
         53  0.2659877091D-01  0.2559035506D-04  0.4290860484D-03
         54  0.2616085435D-01  0.2428611452D-04  0.4138734084D-03
         55  0.2573542319D-01  0.2311528238D-04  0.3994185445D-03
         56  0.2532259426D-01  0.2205217368D-04  0.3856871771D-03
         57  0.2492160056D-01  0.2108465811D-04  0.3726254561D-03
         58  0.2453221407D-01  0.2022162628D-04  0.3601977065D-03
         59  0.2415379316D-01  0.1942357594D-04  0.3483597865D-03
         60  0.2378582445D-01  0.1869129593D-04  0.3370720431D-03
         61  0.2342805570D-01  0.1802521064D-04  0.3263057015D-03
         62  0.2308036476D-01  0.1742631771D-04  0.3160347286D-03
         63  0.2274182426D-01  0.1686474730D-04  0.3062215528D-03
         64  0.2241262963D-01  0.1635806886D-04  0.2968469096D-03
         65  0.2209228219D-01  0.1589467935D-04  0.2878840014D-03
         66  0.2178023727D-01  0.1546809528D-04  0.2793045226D-03
         67  0.2147647784D-01  0.1507852389D-04  0.2710935795D-03
         68  0.2118057033D-01  0.1472187605D-04  0.2632278787D-03
         69  0.2089235809D-01  0.1439423598D-04  0.2556913847D-03
         70  0.2061145188D-01  0.1409254043D-04  0.2484636583D-03
         71  0.2033765606D-01  0.1381513275D-04  0.2415298028D-03
         72  0.2007070968D-01  0.1355962458D-04  0.2348741919D-03
         73  0.1981037858D-01  0.1332467407D-04  0.2284823743D-03
         74  0.1955645173D-01  0.1310820654D-04  0.2223409821D-03
         75  0.1930873029D-01  0.1290866731D-04  0.2164380080D-03
         76  0.1906697453D-01  0.1272470078D-04  0.2107608011D-03
         77  0.1883103704D-01  0.1255440931D-04  0.2052989124D-03
         78  0.1860065344D-01  0.1239731434D-04  0.2000408950D-03
         79  0.1837570839D-01  0.1225176966D-04  0.1949779402D-03
         80  0.1815599975D-01  0.1211692170D-04  0.1901002546D-03
         81  0.1794134357D-01  0.1199176273D-04  0.1853987992D-03
         82  0.1773163928D-01  0.1187592533D-04  0.1808666252D-03
         83  0.1752667140D-01  0.1176799180D-04  0.1764945461D-03
         84  0.1732630577D-01  0.1166763518D-04  0.1722756791D-03
         85  0.1713042572D-01  0.1157394754D-04  0.1682034587D-03
         86  0.1693887185D-01  0.1148677095D-04  0.1642710711D-03
         87  0.1675150349D-01  0.1140530227D-04  0.1604720769D-03
         88  0.1656820412D-01  0.1132941449D-04  0.1568007847D-03
         89  0.1638892028D-01  0.1125797466D-04  0.1532527173D-03
         90  0.1621344826D-01  0.1119094391D-04  0.1498212289D-03
         91  0.1604167073D-01  0.1112813867D-04  0.1465015638D-03
         92  0.1587352095D-01  0.1106884089D-04  0.1432893202D-03
         93  0.1570890558D-01  0.1101281140D-04  0.1401802077D-03
         94  0.1554763242D-01  0.1096021137D-04  0.1371689493D-03
         95  0.1538973746D-01  0.1091012928D-04  0.1342530630D-03
         96  0.1523503973D-01  0.1086269154D-04  0.1314276771D-03
         97  0.1508350538D-01  0.1081778814D-04  0.1286896755D-03
         98  0.1493494180D-01  0.1077425348D-04  0.1260347290D-03
         99  0.1478940772D-01  0.1073334336D-04  0.1234608336D-03
        100  0.1464669657D-01  0.1069379189D-04  0.1209634707D-03
        101  0.1450684488D-01  0.1065616792D-04  0.1185411073D-03
        102  0.1436967166D-01  0.1061966473D-04  0.1161895128D-03
        103  0.1423518367D-01  0.1058482765D-04  0.1139070131D-03
        104  0.1410324172D-01  0.1055063713D-04  0.1116901856D-03
        105  0.1397383569D-01  0.1051778918D-04  0.1095372132D-03
        106  0.1384682849D-01  0.1048540191D-04  0.1074449214D-03
        107  0.1372229975D-01  0.1045479983D-04  0.1054127081D-03
        108  0.1360005021D-01  0.1042447438D-04  0.1034368536D-03
        109  0.1348005090D-01  0.1039475833D-04  0.1015156457D-03
        110  0.1336218974D-01  0.1036388603D-04  0.9964652848D-04
        111  0.1324663109D-01  0.1033675517D-04  0.9783004870D-04
        112  0.1313308909D-01  0.1030902447D-04  0.9606184646D-04
        113  0.1302161678D-01  0.1028116658D-04  0.9434133773D-04
        114  0.1291194846D-01  0.1025061761D-04  0.9266475794D-04
        115  0.1280473696D-01  0.1023002575D-04  0.9103750124D-04
        116  0.1269910194D-01  0.1020019299D-04  0.8944963138D-04
        117  0.1259537581D-01  0.1017831140D-04  0.8790335560D-04
        118  0.1249315405D-01  0.1014712106D-04  0.8639451076D-04
        119  0.1239294504D-01  0.1012061545D-04  0.8492639734D-04
        120  0.1229446912D-01  0.1009445428D-04  0.8349565793D-04
        121  0.1219764018D-01  0.1006817545D-04  0.8210061003D-04
        122  0.1210248941D-01  0.1004212703D-04  0.8074076583D-04
        123  0.1200894304D-01  0.1001603727D-04  0.7941465508D-04
        124  0.1191694135D-01  0.9989978211D-05  0.7812098292D-04
        125  0.1182649904D-01  0.9963803888D-05  0.7685917455D-04
        126  0.1173754169D-01  0.9937638487D-05  0.7562786420D-04
        127  0.1165004749D-01  0.9911387521D-05  0.7442619726D-04
        128  0.1156399555D-01  0.9885072548D-05  0.7325336488D-04
        129  0.1147934123D-01  0.9858710662D-05  0.7210835958D-04
        130  0.1139605299D-01  0.9832190788D-05  0.7099031225D-04
        131  0.1131411288D-01  0.9805683941D-05  0.6989851787D-04
        132  0.1123347710D-01  0.9779005843D-05  0.6883204777D-04
        133  0.1115412221D-01  0.9752300696D-05  0.6779018328D-04
        134  0.1107602600D-01  0.9725274614D-05  0.6677223041D-04
        135  0.1099915318D-01  0.9698236045D-05  0.6577741924D-04
        136  0.1092348275D-01  0.9671035795D-05  0.6480510148D-04
        137  0.1084898731D-01  0.9643682799D-05  0.6385460500D-04
        138  0.1077564784D-01  0.9616237494D-05  0.6292534903D-04
        139  0.1070341856D-01  0.9588675347D-05  0.6201653355D-04
        140  0.1063227702D-01  0.9560340716D-05  0.6112757041D-04
        141  0.1056227639D-01  0.9532890099D-05  0.6025852037D-04
        142  0.1049331585D-01  0.9504793583D-05  0.5940818587D-04
        143  0.1042536259D-01  0.9476540513D-05  0.5857596121D-04
        144  0.1035843962D-01  0.9448107639D-05  0.5776166875D-04
        145  0.1029260509D-01  0.9419337811D-05  0.5696539842D-04
        146  0.1022756567D-01  0.9390888697D-05  0.5618464793D-04
        147  0.1016355540D-01  0.9362024579D-05  0.5542083019D-04
        148  0.1010048044D-01  0.9332826579D-05  0.5467294391D-04
        149  0.1003834831D-01  0.9303781563D-05  0.5394074915D-04
        150  0.9977108292D-02  0.9274528459D-05  0.5322358508D-04
        151  0.9916751526D-02  0.9245129899D-05  0.5252111108D-04
        152  0.9857255042D-02  0.9215508028D-05  0.5183289511D-04
        153  0.9798596177D-02  0.9185797620D-05  0.5115852215D-04
        154  0.9740785109D-02  0.9155905573D-05  0.5049781019D-04
        155  0.9683789333D-02  0.9125930229D-05  0.4985029001D-04
        156  0.9627579573D-02  0.9095759002D-05  0.4921552125D-04
        157  0.9572225775D-02  0.9065967775D-05  0.4859375526D-04
        158  0.9517516354D-02  0.9035058740D-05  0.4798333037D-04
        159  0.9463627623D-02  0.9004624489D-05  0.4738523836D-04
        160  0.9410483514D-02  0.8973984898D-05  0.4679874684D-04
        161  0.9358064090D-02  0.8943234357D-05  0.4622352604D-04
        162  0.9306359253D-02  0.8912413951D-05  0.4565931674D-04
        163  0.9255354085D-02  0.8881398924D-05  0.4510582923D-04
        164  0.9205032770D-02  0.8850308273D-05  0.4456278167D-04
        165  0.9155402903D-02  0.8819216008D-05  0.4403004438D-04
        166  0.9106425154D-02  0.8787956266D-05  0.4350719349D-04
        167  0.9058093878D-02  0.8756520534D-05  0.4299402496D-04
        168  0.9010411620D-02  0.8725171936D-05  0.4249039877D-04
        169  0.8963356254D-02  0.8693602773D-05  0.4199601118D-04
        170  0.8916914270D-02  0.8661963931D-05  0.4151062886D-04
        171  0.8871079980D-02  0.8630219597D-05  0.4103406794D-04
        172  0.8825848726D-02  0.8598551538D-05  0.4056616078D-04
        173  0.8781087671D-02  0.8566071361D-05  0.4010595913D-04
        174  0.8737073464D-02  0.8534546254D-05  0.3965500428D-04
        175  0.8693622936D-02  0.8502941612D-05  0.3921205126D-04
        176  0.8650621659D-02  0.8470718412D-05  0.3877629199D-04
        177  0.8608240686D-02  0.8438794944D-05  0.3834861838D-04
        178  0.8566365577D-02  0.8406686241D-05  0.3792823711D-04
        179  0.8525011215D-02  0.8374466125D-05  0.3751511851D-04
        180  0.8484159041D-02  0.8342194251D-05  0.3710904442D-04
        181  0.8443874364D-02  0.8310062110D-05  0.3671027327D-04
        182  0.8404082282D-02  0.8277517617D-05  0.3631825820D-04
        183  0.8364715775D-02  0.8245410264D-05  0.3593254961D-04
        184  0.8325869545D-02  0.8213043247D-05  0.3555354957D-04
        185  0.8287493421D-02  0.8180639472D-05  0.3518088765D-04
        186  0.8249587475D-02  0.8148184059D-05  0.3481446363D-04
        187  0.8212159905D-02  0.8115818337D-05  0.3445423151D-04
        188  0.8175084213D-02  0.8083004097D-05  0.3409940922D-04
        189  0.8138714318D-02  0.8051294073D-05  0.3375182861D-04
        190  0.8102526763D-02  0.8018460953D-05  0.3340856689D-04
        191  0.8066844195D-02  0.7985958448D-05  0.3307128656D-04
        192  0.8031608821D-02  0.7953512871D-05  0.3273958895D-04
        193  0.7996767196D-02  0.7920992098D-05  0.3241311296D-04
        194  0.7962370262D-02  0.7888585173D-05  0.3209204704D-04
        195  0.7928330162D-02  0.7856052043D-05  0.3177585729D-04
        196  0.7894714495D-02  0.7823594373D-05  0.3146482001D-04
        197  0.7861478935D-02  0.7791141621D-05  0.3115863541D-04
        198  0.7828635503D-02  0.7758678189D-05  0.3085729219D-04
        199  0.7796167360D-02  0.7726231966D-05  0.3056063759D-04
        200  0.7764071231D-02  0.7693802906D-05  0.3026858807D-04
        201  0.7732340797D-02  0.7661396392D-05  0.2998104686D-04
        202  0.7701020261D-02  0.7629166790D-05  0.2969816909D-04
        203  0.7669945766D-02  0.7596627381D-05  0.2941908156D-04
        204  0.7639318260D-02  0.7564378594D-05  0.2914471425D-04
        205  0.7608953429D-02  0.7531941670D-05  0.2887410640D-04
        206  0.7579022203D-02  0.7499818167D-05  0.2860803289D-04
        207  0.7549386355D-02  0.7467603779D-05  0.2834576350D-04
        208  0.7520154717D-02  0.7435663832D-05  0.2808776805D-04
        209  0.7491078040D-02  0.7403249562D-05  0.2783280095D-04
        210  0.7462432168D-02  0.7371192166D-05  0.2758212631D-04
        211  0.7434061151D-02  0.7339088510D-05  0.2733495453D-04
        212  0.7406078401D-02  0.7307239600D-05  0.2709176685D-04
        213  0.7378293501D-02  0.7275140716D-05  0.2685162416D-04
        214  0.7350859578D-02  0.7243233250D-05  0.2661519375D-04
        215  0.7323715066D-02  0.7211344780D-05  0.2638214238D-04
        216  0.7296862310D-02  0.7179518464D-05  0.2615243704D-04
        217  0.7270297558D-02  0.7147744608D-05  0.2592601589D-04
        218  0.7244045358D-02  0.7116116843D-05  0.2570294654D-04
        219  0.7218013953D-02  0.7084388183D-05  0.2548277231D-04
        220  0.7192315435D-02  0.7052874978D-05  0.2526595638D-04
        221  0.7166868733D-02  0.7021359579D-05  0.2505209503D-04
        222  0.7141666170D-02  0.6989858076D-05  0.2484111687D-04
        223  0.7116705225D-02  0.6958379530D-05  0.2463297368D-04
        224  0.7092068059D-02  0.6927112076D-05  0.2442798659D-04
        225  0.7067665885D-02  0.6895858809D-05  0.2422572906D-04
        226  0.7043497698D-02  0.6864652745D-05  0.2402616360D-04
        227  0.7019581177D-02  0.6833498826D-05  0.2382933045D-04
        228  0.6995944615D-02  0.6802514308D-05  0.2363531774D-04
        229  0.6972513870D-02  0.6771511211D-05  0.2344377357D-04
        230  0.6949328433D-02  0.6740594015D-05  0.2325483322D-04
        231  0.6926376705D-02  0.6709755542D-05  0.2306841627D-04
        232  0.6903656522D-02  0.6678997893D-05  0.2288448319D-04
        233  0.6881158896D-02  0.6648310342D-05  0.2270296522D-04
        234  0.6858933243D-02  0.6617790598D-05  0.2252403536D-04
        235  0.6836847327D-02  0.6587203637D-05  0.2234712042D-04
        236  0.6815032171D-02  0.6556791229D-05  0.2217273021D-04
        237  0.6793426190D-02  0.6526449093D-05  0.2200058330D-04
        238  0.6772023525D-02  0.6496167236D-05  0.2183062883D-04
        239  0.6750851335D-02  0.6466013666D-05  0.2166294990D-04
        240  0.6729869089D-02  0.6435910980D-05  0.2149735620D-04
