# Created by REAR 1.5 on 2022-11-09 12:48:50
# Green function from file: gf_Greenland.dat
# All rates are in units of mm/yr
#
#    Lon          Lat            Up          South          East         Geoid      Site
# ----------  ------------  ------------  ------------  ------------  ------------  ----
  291.175000     76.537000  0.283675E+01  -.117575E-01  -.770214E+00  -.155371E+01  THU2
  298.322000     76.352000  0.902346E+01  -.182867E+00  -.415989E+00  -.326147E+01  DKSG
  301.743000     75.726000  0.798510E+01  -.677201E+00  -.747838E+00  -.335825E+01  ASKY
  302.773000     74.581000  0.481857E+01  0.318808E+00  -.821870E+00  -.258220E+01  KULL
  305.606000     72.911000  0.724735E+01  0.685586E+00  -.104070E+01  -.336733E+01  SRMP
  303.872000     72.788000  0.373029E+01  0.414978E+00  -.908476E+00  -.220387E+01  UPVK
  309.006000     71.848000  0.594289E+01  -.156142E+00  -.187979E+00  -.295235E+01  RINK
  307.312000     70.740000  0.342916E+01  0.266462E-01  -.710415E+00  -.216943E+01  QAAR
  306.478000     69.253000  0.300252E+01  0.162733E+00  -.902846E+00  -.197015E+01  QEQE
  308.939000     69.240000  0.556359E+01  0.269757E-01  -.164791E+01  -.305125E+01  ILUL
  310.185000     69.222000  0.176414E+02  -.307140E+00  -.239600E+01  -.626229E+01  KAGA
  307.207000     68.719000  0.321943E+01  0.313815E+00  -.984759E+00  -.207084E+01  AASI
  309.055000     66.987000  0.276951E+01  0.323443E+00  -.521230E+00  -.190494E+01  KELY
  309.729000     64.432000  0.321848E+01  0.418728E-01  -.801504E+00  -.201762E+01  KAPI
  308.269000     64.184000  0.226335E+01  0.142401E+00  -.657050E+00  -.157225E+01  NUUK
  312.859000     61.070000  0.462919E+01  0.827804E+00  -.500475E+00  -.219584E+01  SENU
  313.952000     60.715000  0.296980E+01  0.820156E+00  -.471457E+00  -.178386E+01  QAQ1
  315.099000     61.632000  0.397812E+01  0.375759E+00  -.942286E+00  -.240225E+01  NNVN
  317.714000     62.536000  0.680306E+01  0.324979E+00  0.126169E+01  -.350721E+01  TIMM
  318.852000     63.418000  0.600846E+01  0.105984E+01  0.872533E+00  -.324657E+01  HJOR
  318.625000     64.277000  0.100909E+02  0.496979E+00  0.676350E+00  -.475311E+01  TREO
  319.802000     64.430000  0.715248E+01  0.729398E+00  0.151083E+01  -.368065E+01  LYNS
  318.842000     65.144000  0.135623E+02  0.244739E+00  0.589728E-01  -.548457E+01  KBUG
  321.025000     65.547000  0.738697E+01  0.877407E+00  0.905568E+00  -.380315E+01  ISOR
  322.851000     65.579000  0.487561E+01  0.785429E+00  0.871891E+00  -.285001E+01  KULU
  321.784000     66.401000  0.115432E+02  -.314154E-01  0.960809E+00  -.485512E+01  HEL1
  321.784000     66.401000  0.115432E+02  -.314154E-01  0.960809E+00  -.485512E+01  HEL2
  324.424000     66.863000  0.640144E+01  -.267862E+00  0.628550E+00  -.337444E+01  KSNB
  325.967000     66.898000  0.518236E+01  0.564724E+00  0.908426E+00  -.288453E+01  PLPK
  328.548000     68.140000  0.528038E+01  0.628503E+00  0.919970E+00  -.290960E+01  MIK2
  326.947000     68.587000  0.150496E+02  0.114951E+01  0.488127E+00  -.555707E+01  KUAQ
  330.182000     70.300000  0.444991E+01  -.291512E+00  0.763561E-01  -.235297E+01  VFDG
  338.050000     70.485000  0.201737E+01  -.278409E-01  0.602228E+00  -.132744E+01  SCOR
  330.150000     71.787000  0.419737E+01  -.450667E+00  -.128588E+00  -.215994E+01  DGJG
  336.087000     72.241000  0.231381E+01  -.194026E+00  0.577927E+00  -.146535E+01  MSVG
  331.871000     73.676000  0.372135E+01  -.241593E+00  -.356265E-01  -.183513E+01  HMBG
  335.691000     73.955000  0.364450E+01  -.369397E+00  0.604682E+00  -.173934E+01  WTHG
  339.800000     74.312000  0.155913E+01  -.128088E+00  0.439633E+00  -.102556E+01  DANE
  336.147000     75.894000  0.819864E+00  -.292500E+00  0.118131E+00  -.781430E+00  LBIB
  335.674000     77.433000  -.246630E+00  -.417349E+00  0.157302E+00  -.413554E+00  YMER
  340.348000     77.809000  0.127831E+01  -.369380E-01  0.194006E+00  -.792779E+00  GMMA
  337.096000     78.443000  0.198270E+01  0.824310E-01  -.373071E-01  -.104648E+01  GROK
  342.275000     79.155000  0.126010E+01  -.109828E+00  0.332686E+00  -.739732E+00  NRSK
  337.025000     79.539000  0.236797E+01  -.429753E+00  0.141266E+00  -.111857E+01  BLAS
  333.707000     80.457000  0.185084E+01  -.130126E+00  0.881928E-01  -.901103E+00  LEFN
  343.345000     81.600000  0.398805E+00  -.193094E-01  0.253319E+00  -.338506E+00  NORD
  328.996000     82.209000  0.122118E+01  -.205479E+00  0.100068E+00  -.688660E+00  JGBL
  326.623000     83.643000  0.982169E+00  -.243033E+00  0.768795E-01  -.542422E+00  KMJP
  297.660000     82.494000  0.865161E+00  -.188846E+00  -.938942E-01  -.543400E+00  ALRT
  296.473000     81.253000  0.110521E+01  -.268879E+00  -.108985E+00  -.693452E+00  KMOR
  300.406000     80.260000  0.187221E+01  -.290897E+00  0.569212E-02  -.101704E+01  SCBY
  294.147000     79.132000  0.224370E+01  -.281791E+00  -.385907E+00  -.119102E+01  KAGZ
  294.305000     77.187000  0.313548E+01  -.348580E+00  -.342377E+00  -.166794E+01  MARG
