# Reference REAR geodetic observables for the Greenland example
# Green function from file: gf_Greenland.dat
# All rates are in units of mm/yr
#
#   Lon        Lat           Up          South          East         Geoid    
# --------  ----------  ------------  ------------  ------------  ------------
  285.0000     58.0000  0.466614E+00  0.481741E-01  -.434961E-01  -.179143E+00
  285.5000     58.0000  0.471237E+00  0.496603E-01  -.447466E-01  -.184496E+00
  286.0000     58.0000  0.475924E+00  0.511707E-01  -.460061E-01  -.189964E+00
  286.5000     58.0000  0.480686E+00  0.527076E-01  -.472700E-01  -.195552E+00
  287.0000     58.0000  0.485549E+00  0.542693E-01  -.485383E-01  -.201266E+00
  287.5000     58.0000  0.490501E+00  0.558645E-01  -.498212E-01  -.207109E+00
  288.0000     58.0000  0.495520E+00  0.574903E-01  -.511125E-01  -.213078E+00
  288.5000     58.0000  0.500638E+00  0.591489E-01  -.524120E-01  -.219183E+00
  289.0000     58.0000  0.505865E+00  0.608429E-01  -.537223E-01  -.225429E+00
  289.5000     58.0000  0.511192E+00  0.625744E-01  -.550434E-01  -.231818E+00
  290.0000     58.0000  0.516618E+00  0.643458E-01  -.563736E-01  -.238353E+00
  290.5000     58.0000  0.522157E+00  0.661613E-01  -.577189E-01  -.245040E+00
  291.0000     58.0000  0.527819E+00  0.680189E-01  -.590732E-01  -.251885E+00
  291.5000     58.0000  0.533597E+00  0.699277E-01  -.604455E-01  -.258890E+00
  292.0000     58.0000  0.539501E+00  0.718883E-01  -.618329E-01  -.266062E+00
  292.5000     58.0000  0.545547E+00  0.739065E-01  -.632382E-01  -.273407E+00
  293.0000     58.0000  0.551720E+00  0.759838E-01  -.646600E-01  -.280927E+00
  293.5000     58.0000  0.558044E+00  0.781272E-01  -.661037E-01  -.288631E+00
  294.0000     58.0000  0.564533E+00  0.803407E-01  -.675698E-01  -.296525E+00
  294.5000     58.0000  0.571186E+00  0.826305E-01  -.690589E-01  -.304614E+00
  295.0000     58.0000  0.578018E+00  0.850036E-01  -.705755E-01  -.312905E+00
  295.5000     58.0000  0.585025E+00  0.874631E-01  -.721185E-01  -.321403E+00
  296.0000     58.0000  0.592238E+00  0.900214E-01  -.736954E-01  -.330117E+00
  296.5000     58.0000  0.599661E+00  0.926833E-01  -.753022E-01  -.339054E+00
  297.0000     58.0000  0.607309E+00  0.954589E-01  -.769459E-01  -.348221E+00
  297.5000     58.0000  0.615188E+00  0.983578E-01  -.786263E-01  -.357624E+00
  298.0000     58.0000  0.623326E+00  0.101391E+00  -.803482E-01  -.367272E+00
  298.5000     58.0000  0.631733E+00  0.104570E+00  -.821112E-01  -.377173E+00
  299.0000     58.0000  0.640434E+00  0.107909E+00  -.839206E-01  -.387335E+00
  299.5000     58.0000  0.649444E+00  0.111421E+00  -.857750E-01  -.397766E+00
  300.0000     58.0000  0.658782E+00  0.115121E+00  -.876783E-01  -.408474E+00
  300.5000     58.0000  0.668476E+00  0.119026E+00  -.896283E-01  -.419467E+00
  301.0000     58.0000  0.678545E+00  0.123154E+00  -.916245E-01  -.430751E+00
  301.5000     58.0000  0.689017E+00  0.127523E+00  -.936679E-01  -.442336E+00
  302.0000     58.0000  0.699936E+00  0.132156E+00  -.957536E-01  -.454230E+00
  302.5000     58.0000  0.711297E+00  0.137076E+00  -.978797E-01  -.466435E+00
  303.0000     58.0000  0.723149E+00  0.142306E+00  -.100036E+00  -.478958E+00
  303.5000     58.0000  0.735530E+00  0.147868E+00  -.102213E+00  -.491806E+00
  304.0000     58.0000  0.748460E+00  0.153790E+00  -.104401E+00  -.504979E+00
  304.5000     58.0000  0.761958E+00  0.160096E+00  -.106581E+00  -.518477E+00
  305.0000     58.0000  0.776080E+00  0.166822E+00  -.108734E+00  -.532302E+00
  305.5000     58.0000  0.790819E+00  0.173987E+00  -.110831E+00  -.546445E+00
  306.0000     58.0000  0.806259E+00  0.181630E+00  -.112842E+00  -.560905E+00
  306.5000     58.0000  0.822332E+00  0.189753E+00  -.114724E+00  -.575657E+00
  307.0000     58.0000  0.839114E+00  0.198399E+00  -.116430E+00  -.590692E+00
  307.5000     58.0000  0.856582E+00  0.207579E+00  -.117906E+00  -.605982E+00
  308.0000     58.0000  0.874736E+00  0.217309E+00  -.119085E+00  -.621494E+00
  308.5000     58.0000  0.893555E+00  0.227582E+00  -.119880E+00  -.637188E+00
  309.0000     58.0000  0.912990E+00  0.238401E+00  -.120210E+00  -.653008E+00
  309.5000     58.0000  0.932977E+00  0.249741E+00  -.119974E+00  -.668891E+00
  310.0000     58.0000  0.953376E+00  0.261572E+00  -.119063E+00  -.684749E+00
  310.5000     58.0000  0.974129E+00  0.273806E+00  -.117345E+00  -.700496E+00
  311.0000     58.0000  0.995041E+00  0.286378E+00  -.114706E+00  -.716015E+00
  311.5000     58.0000  0.101592E+01  0.299172E+00  -.111014E+00  -.731176E+00
  312.0000     58.0000  0.103648E+01  0.312033E+00  -.106132E+00  -.745822E+00
  312.5000     58.0000  0.105644E+01  0.324780E+00  -.999303E-01  -.759785E+00
