#
# The file contains coordinated of GPS points for Greenland
# Source: Bevis et al., PNAS 2012 - See Table S1
#
#    N  Longitude  Latitude  Stat name    
# ---------------------------------------
     1   -68.825    76.537     THU2
     2   -61.678    76.352     DKSG
     3   -58.257    75.726     ASKY
     4   -57.227    74.581     KULL
     5   -54.394    72.911     SRMP
     6   -56.128    72.788     UPVK
     7   -50.994    71.848     RINK
     8   -52.688    70.740     QAAR
     9   -53.522    69.253     QEQE
    10   -51.061    69.240     ILUL
    11   -49.815    69.222     KAGA
    12   -52.793    68.719     AASI
    13   -50.945    66.987     KELY
    14   -50.271    64.432     KAPI
    15   -51.731    64.184     NUUK
    16   -47.141    61.070     SENU
    17   -46.048    60.715     QAQ1
    18   -44.901    61.632     NNVN
    19   -42.286    62.536     TIMM
    20   -41.148    63.418     HJOR
    21   -41.375    64.277     TREO
    22   -40.198    64.430     LYNS
    23   -41.158    65.144     KBUG
    24   -38.975    65.547     ISOR
    25   -37.149    65.579     KULU
    26   -38.216    66.401     HEL1
    27   -38.216    66.401     HEL2
    28   -35.576    66.863     KSNB
    29   -34.033    66.898     PLPK
    30   -31.452    68.140     MIK2
    31   -33.053    68.587     KUAQ
    32   -29.818    70.300     VFDG
    33   -21.950    70.485     SCOR
    34   -29.850    71.787     DGJG
    35   -23.913    72.241     MSVG
    36   -28.129    73.676     HMBG
    37   -24.309    73.955     WTHG
    38   -20.200    74.312     DANE
    39   -23.853    75.894     LBIB
    40   -24.326    77.433     YMER
    41   -19.652    77.809     GMMA
    42   -22.904    78.443     GROK
    43   -17.725    79.155     NRSK
    44   -22.975    79.539     BLAS
    45   -26.293    80.457     LEFN
    46   -16.655    81.600     NORD
    47   -31.004    82.209     JGBL
    48   -33.377    83.643     KMJP
    49   -62.340    82.494     ALRT
    50   -63.527    81.253     KMOR
    51   -59.594    80.260     SCBY
    52   -65.853    79.132     KAGZ 
    53   -65.695    77.187     MARG
