 - Love numbers from file:./DATA/REF_6371_loading_love_numbers.txt
 - Green functions for MAX degree:       32768
 - Ice density (kg/m^3):   917.00000000000000     
 - Earth density (kg/m^3):   5505.0609557847711     
 - Load half-amplitude (deg):   2.5370000000000000E-002
 - Ice thickness variation: +1 m/year
 - ======= Grid properties (the grid has costant spacing) =======
 - Min and Max colatitudes (deg):   0.0000000000000000        60.000000000000000     
 - Colatitude increment(deg):   5.0740000000000004E-003
 - Number of grid points:       11825
#
#   Line        colat, deg        vert. vel., mm/yr    hor. vel., mm/yr     geoid vel., mm/yr
#
      1       0.00000000E+00      -0.63974886E+00       0.00000000E+00       0.10953773E+00
      2       0.50740000E-02      -0.63796885E+00      -0.19841378E-01       0.10924903E+00
      3       0.10148000E-01      -0.61658541E+00      -0.41827089E-01       0.10580224E+00
      4       0.15222000E-01      -0.57619069E+00      -0.60931955E-01       0.99292617E-01
      5       0.20296000E-01      -0.51887108E+00      -0.83323270E-01       0.90055847E-01
      6       0.25370000E-01      -0.39510450E+00      -0.98124891E-01       0.70125598E-01
      7       0.30444000E-01      -0.27675575E+00      -0.85926442E-01       0.51061031E-01
      8       0.35518000E-01      -0.22466077E+00      -0.71688226E-01       0.42647470E-01
      9       0.40592000E-01      -0.18465025E+00      -0.62966898E-01       0.36171447E-01
     10       0.45666000E-01      -0.15811578E+00      -0.54611419E-01       0.31857237E-01
     11       0.50740000E-01      -0.13658463E+00      -0.49107332E-01       0.28342314E-01
     12       0.55814000E-01      -0.11966969E+00      -0.43542409E-01       0.25564805E-01
     13       0.60888000E-01      -0.10642526E+00      -0.39696367E-01       0.23372970E-01
     14       0.65962000E-01      -0.94492770E-01      -0.35763976E-01       0.21387797E-01
     15       0.71036000E-01      -0.85699962E-01      -0.32854343E-01       0.19903677E-01
     16       0.76110000E-01      -0.76832944E-01      -0.29982605E-01       0.18404008E-01
     17       0.81184000E-01      -0.70630609E-01      -0.27651946E-01       0.17329739E-01
     18       0.86258000E-01      -0.63885773E-01      -0.25509500E-01       0.16165337E-01
     19       0.91332000E-01      -0.59248256E-01      -0.23574072E-01       0.15337412E-01
     20       0.96406000E-01      -0.54089788E-01      -0.21944961E-01       0.14423535E-01
     21       0.10148000E+00      -0.50419555E-01      -0.20309516E-01       0.13747243E-01
     22       0.10655400E+00      -0.46494267E-01      -0.19041741E-01       0.13028440E-01
     23       0.11162800E+00      -0.43443053E-01      -0.17656363E-01       0.12449071E-01
     24       0.11670200E+00      -0.40482924E-01      -0.16639248E-01       0.11883483E-01
     25       0.12177600E+00      -0.37858105E-01      -0.15475422E-01       0.11371242E-01
     26       0.12685000E+00      -0.35638825E-01      -0.14628947E-01       0.10923910E-01
     27       0.13192400E+00      -0.33345771E-01      -0.13665841E-01       0.10464629E-01
     28       0.13699800E+00      -0.31672198E-01      -0.12934766E-01       0.10105145E-01
     29       0.14207200E+00      -0.29674163E-01      -0.12151774E-01       0.96938233E-02
     30       0.14714600E+00      -0.28378609E-01      -0.11501311E-01       0.93960495E-02
     31       0.15222000E+00      -0.26667215E-01      -0.10874821E-01       0.90321038E-02
     32       0.15729400E+00      -0.25612724E-01      -0.10286466E-01       0.87747029E-02
     33       0.16236800E+00      -0.24186640E-01      -0.97895485E-02       0.84585426E-02
     34       0.16744200E+00      -0.23270553E-01      -0.92566672E-02       0.82255578E-02
     35       0.17251600E+00      -0.22121551E-01      -0.88606179E-02       0.79563517E-02
     36       0.17759000E+00      -0.21276708E-01      -0.83839165E-02       0.77374108E-02
     37       0.18266400E+00      -0.20382562E-01      -0.80607406E-02       0.75119568E-02
     38       0.18773800E+00      -0.19574974E-01      -0.76440016E-02       0.73019111E-02
     39       0.19281200E+00      -0.18898334E-01      -0.73690234E-02       0.71144691E-02
     40       0.19788600E+00      -0.18121364E-01      -0.70155477E-02       0.69124714E-02
     41       0.20296000E+00      -0.17613288E-01      -0.67695129E-02       0.67553454E-02
     42       0.20803400E+00      -0.16879246E-01      -0.64796292E-02       0.65635126E-02
     43       0.21310800E+00      -0.16485660E-01      -0.62498768E-02       0.64281043E-02
     44       0.21818200E+00      -0.15816245E-01      -0.60197097E-02       0.62499939E-02
     45       0.22325600E+00      -0.15485463E-01      -0.58002420E-02       0.61280258E-02
     46       0.22833000E+00      -0.14902646E-01      -0.56217220E-02       0.59671820E-02
     47       0.23340400E+00      -0.14592194E-01      -0.54122362E-02       0.58518079E-02
     48       0.23847800E+00      -0.14110960E-01      -0.52741370E-02       0.57106055E-02
     49       0.24355200E+00      -0.13792349E-01      -0.50782821E-02       0.55971885E-02
     50       0.24862600E+00      -0.13416270E-01      -0.49679229E-02       0.54761319E-02
     51       0.25370000E+00      -0.13076918E-01      -0.47911673E-02       0.53625633E-02
